IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1446720,3439601,7313416,8395841,8391919,8379395,5408082,3764455,ALU
836751,2877885,5558544,8397957,8386390,8397754,4909067,3540281,ALU
829679,2739838,5487789,8382316,8403238,8370874,5018680,3501805,ALU
1303895,3224411,6991835,8374559,8395534,8379474,5366190,3836574,ALU
799959,2734110,5493805,8383459,8403914,8364324,4999746,3524442,ALU
1300223,3225550,6972062,8394380,8394380,8394380,5233251,3809859,ALU
1349384,2831785,6020710,8394706,8398751,8394351,6896737,3887271,ALU
1576164,3387006,6686053,8390991,8376529,8390991,5258859,3837195,ALU
1276542,3194311,6906460,8396600,8396600,8396600,5276778,3833711,ALU
1490891,2943740,6212242,8396642,8379309,8396642,6874344,3893773,ALU
