IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1494133,2601351,4220339,1953375,3343537,Rec
1401949,2425597,3818545,1802581,3020409,Rec
1033551,1841869,2956487,1444429,2427545,Rec
1430169,2458245,3869949,1839205,3080403,Rec
1427885,2425399,3940399,1824403,3099151,Rec
1145797,1999579,3264969,1629803,2774439,Rec
1093679,1861261,3065641,1410845,2475837,Rec
1388387,2317811,3422753,1756567,2793505,Rec
1414015,2348973,3357799,1790051,2773867,Rec
1461759,2478527,4062779,1865433,3181297,Rec
1458083,2452025,3988561,1856597,3142541,Rec
1321405,2294277,3683891,1712123,2904623,Rec
1343123,2227045,3505101,1689987,2788627,Rec
1345251,2232877,3507809,1694655,2794717,Rec
1171725,1923809,2987859,1449601,2420117,Rec
1180307,1962037,3009869,1489881,2419067,Rec
867633,1428153,2273367,1152089,1914749,Rec
967107,1565639,2263747,1216793,1878031,Rec
979231,1519751,2184401,1191787,1853983,Rec
1151825,1823881,2743335,1411825,2225161,Rec
1156389,1834559,2753761,1414283,2231107,Rec
946867,1547559,2244523,1180865,1842439,Rec
1420127,2349875,3799171,1786453,2993411,Rec
890343,1441219,2119871,1116435,1746243,Rec
1177099,1856751,2818047,1436931,2272093,Rec
1225493,2031033,3230249,1540717,2563015,Rec
1049673,1723079,2824789,1359285,2263545,Rec
1401637,2306805,3710127,1746105,2925721,Rec
880113,1368877,1959689,1063271,1620021,Rec
905987,1255217,1739705,1014971,1465087,Rec
